n,id,loan_amnt,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,total_rec_int,application_type,dti_joint,all_util,total_rev_hi_lim
25,38862275,7300.0,242.43,< 1 year,MORTGAGE,31000.0,Verified,Fully Paid,debt_consolidation,TN,6.37,0.0,Feb-2008,648.64,INDIVIDUAL,,,8000.0
26,28732576,14400.0,352.41,10+ years,MORTGAGE,58000.0,Source Verified,Current,debt_consolidation,WI,26.88,0.0,Sep-1967,2681.78,INDIVIDUAL,,,53300.0
27,42924714,10000.0,312.86,2 years,RENT,50000.0,Source Verified,Current,debt_consolidation,CA,34.85,0.0,Dec-2005,578.71,INDIVIDUAL,,,
28,6909540,8000.0,,9 years,MORTGAGE,80000.0,Not Verified,Fully Paid,credit_card,FL,7.51,0.0,Sep-1996,1825.25,INDIVIDUAL,,,
29,47008590,10000.0,,1 year,,200000.0,Not Verified,Fully Paid,debt_consolidation,FL,12.14,0.0,Nov-2009,269.43,INDIVIDUAL,,,
30,36500325,1625.0,52.81,n/a,RENT,31558.0,Source Verified,Fully Paid,credit_card,CA,11.26,0.0,Jun-1997,85.91,INDIVIDUAL,,,7600.0
31,12565813,12375.0,438.69,3 years,RENT,36400.0,Verified,Current,small_business,WA,22.09,0.0,Sep-2008,2825.03,INDIVIDUAL,,,6400.0
32,36350627,18500.0,376.8,10+ years,MORTGAGE,900000.0,Not Verified,Current,debt_consolidation,WA,1.91,0.0,Jan-1992,1496.22,INDIVIDUAL,,,
33,24043940,12000.0,289.34,5 years,RENT,55000.0,Source Verified,Current,debt_consolidation,TX,24.11,0.0,Sep-2001,2200.27,INDIVIDUAL,,,31900.0
34,12946572,15000.0,354.03,7 years,MORTGAGE,92500.0,Source Verified,Fully Paid,debt_consolidation,TX,13.38,0.0,Apr-1998,1775.62,INDIVIDUAL,,,19500.0
35,1073958,28000.0,876.13,4 years,RENT,59000.0,Verified,Charged Off,small_business,TX,13.83,0.0,May-2002,1904.26,INDIVIDUAL,,,
36,39580365,6325.0,222.34,8 years,MORTGAGE,23700.0,Verified,Current,debt_consolidation,WI,10.69,0.0,Feb-1990,816.13,INDIVIDUAL,,,13100.0
37,55255433,6200.0,,10+ years,MORTGAGE,103000.0,Verified,Current,debt_consolidation,DE,19.54,1.0,Sep-1998,445.0,INDIVIDUAL,,,
38,4306008,18000.0,547.84,8 years,MORTGAGE,110000.0,Source Verified,Fully Paid,home_improvement,LA,25.83,0.0,Oct-1997,1314.11,INDIVIDUAL,,,166800.0
39,5705943,1300.0,42.65,1 year,OWN,13000.0,Not Verified,Fully Paid,home_improvement,TX,17.91,0.0,Jul-2004,201.0,INDIVIDUAL,,,18100.0
40,1076217,22750.0,544.46,5 years,RENT,56000.0,Verified,Current,debt_consolidation,CA,23.57,0.0,Nov-1995,9383.7,INDIVIDUAL,,,
41,57648910,18000.0,565.56,2 years,RENT,65000.0,Verified,Current,debt_consolidation,NJ,29.33,0.0,Nov-2002,456.24,INDIVIDUAL,,,8400.0
42,52819312,5000.0,177.15,2 years,RENT,21000.0,Source Verified,Current,other,NY,22.84,0.0,Mar-2008,386.35,INDIVIDUAL,,,3000.0
43,36079181,5500.0,,3 years,RENT,32000.0,Source Verified,Current,credit_card,MI,7.54,0.0,Aug-2001,694.48,INDIVIDUAL,,,4100.0
44,37832210,8000.0,272.11,9 years,MORTGAGE,42000.0,Not Verified,Current,debt_consolidation,MD,15.51,0.0,Sep-2003,939.35,INDIVIDUAL,,,11500.0
45,66504220,6000.0,244.22,8 years,RENT,38000.0,Verified,Issued,debt_consolidation,MS,31.87,0.0,Jul-2004,0.0,INDIVIDUAL,,,15500.0
46,617449,14000.0,336.53,2 years,MORTGAGE,59000.0,Source Verified,Fully Paid,debt_consolidation,NJ,18.33,0.0,Dec-2000,1739.06,INDIVIDUAL,,,
47,3848254,1600.0,53.24,10+ years,MORTGAGE,80000.0,Not Verified,Current,credit_card,IN,15.85,1.0,May-1984,312.92,INDIVIDUAL,,,18400.0
48,65772770,10800.0,265.81,4 years,RENT,50000.0,Source Verified,Current,debt_consolidation,WA,31.35,2.0,Aug-2000,139.02,INDIVIDUAL,,,11600.0
49,65363014,14000.0,311.78,5 years,MORTGAGE,180000.0,Not Verified,Current,home_improvement,NY,6.5,1.0,Apr-1995,270.08,INDIVIDUAL,,,12700.0
50,66470563,12000.0,258.76,5 years,MORTGAGE,40000.0,Not Verified,Current,home_improvement,NJ,29.89,1.0,May-1981,92.21,INDIVIDUAL,,,71000.0
51,6634921,12000.0,400.59,< 1 year,MORTGAGE,59000.0,Not Verified,Current,credit_card,MI,19.22,0.0,Jun-2003,2307.94,INDIVIDUAL,,,40300.0
52,46612830,18000.0,403.05,1 year,MORTGAGE,50000.0,Source Verified,Current,home_improvement,PA,21.96,0.0,May-2002,1356.55,INDIVIDUAL,,,5200.0
53,44279652,25000.0,543.44,10+ years,MORTGAGE,125000.0,Source Verified,Current,debt_consolidation,MI,12.54,0.0,Jun-1989,1981.31,INDIVIDUAL,,,41000.0
54,1145006,20000.0,680.36,7 years,MORTGAGE,80000.0,Verified,Fully Paid,debt_consolidation,NV,13.0,0.0,Nov-2004,4491.49,INDIVIDUAL,,,
55,20789117,35000.0,843.9,10+ years,MORTGAGE,130000.0,Verified,Fully Paid,debt_consolidation,DE,11.06,0.0,Dec-1991,4652.1,INDIVIDUAL,,,45700.0
56,55219178,7000.0,216.98,10+ years,MORTGAGE,86000.0,Source Verified,Current,credit_card,NV,13.2,0.0,Sep-1999,198.3,INDIVIDUAL,,,109200.0
57,59259400,4000.0,134.18,n/a,RENT,18000.0,Verified,Current,debt_consolidation,CT,16.67,0.0,Apr-2004,157.69,INDIVIDUAL,,,14600.0
58,68009474,35000.0,1190.62,2 years,RENT,205639.0,Source Verified,Current,debt_consolidation,OK,15.51,2.0,Jan-1993,0.0,INDIVIDUAL,,74.5,73800.0
59,10172228,20000.0,672.44,5 years,RENT,100000.0,Source Verified,Current,credit_card,NY,13.09,1.0,Jul-2000,3672.88,INDIVIDUAL,,,12800.0
60,8996547,4000.0,130.94,< 1 year,RENT,70000.0,Source Verified,Current,home_improvement,IL,12.03,0.0,Apr-1998,608.14,INDIVIDUAL,,,20800.0
61,55281039,10000.0,327.34,7 years,RENT,76000.0,Source Verified,Current,credit_card,CA,8.98,0.0,Jun-1996,423.92,INDIVIDUAL,,,25500.0
62,14588598,10000.0,348.18,2 years,RENT,65000.0,Source Verified,Current,debt_consolidation,OR,30.04,1.0,Oct-2001,1973.67,INDIVIDUAL,,,
63,63484414,35000.0,814.21,2 years,OWN,90000.0,Verified,Current,credit_card,AL,23.27,0.0,Mar-1997,784.15,INDIVIDUAL,,,71100.0
64,58460979,20000.0,625.72,5 years,RENT,105000.0,Not Verified,Current,vacation,CA,29.9,0.0,Feb-1989,616.02,INDIVIDUAL,,,37900.0
65,1611123,17000.0,,3 years,MORTGAGE,53734.08,Verified,Fully Paid,debt_consolidation,GA,17.64,0.0,Mar-2003,2535.07,INDIVIDUAL,,,27400.0
66,66492350,10600.0,377.87,10+ years,RENT,31200.0,Verified,Current,debt_consolidation,ME,25.54,0.0,Jan-2005,140.07,INDIVIDUAL,,,16800.0
67,57662207,19000.0,488.18,2 years,RENT,47000.0,Verified,Current,debt_consolidation,IL,31.36,0.0,Oct-2001,1418.43,INDIVIDUAL,,,23600.0
68,60496352,1000.0,33.55,9 years,MORTGAGE,125000.0,Source Verified,Fully Paid,other,NJ,18.29,0.0,Jul-1998,16.42,INDIVIDUAL,,,50500.0
69,63248988,20000.0,628.39,1 year,MORTGAGE,110000.0,Not Verified,Current,debt_consolidation,MN,22.67,2.0,May-1969,260.22,INDIVIDUAL,,,51300.0
70,64160439,10000.0,,9 years,OWN,42000.0,Source Verified,Current,debt_consolidation,NV,15.06,0.0,Jun-2005,309.32,INDIVIDUAL,,,29400.0
71,47531363,8500.0,258.32,4 years,RENT,57715.0,Not Verified,Current,credit_card,AZ,24.8,0.0,Sep-1998,318.41,INDIVIDUAL,,,32900.0
72,19716709,4950.0,,1 year,MORTGAGE,77740.0,Not Verified,Current,other,CO,21.39,2.0,Jan-1996,857.8,INDIVIDUAL,,,15500.0
73,12997059,16000.0,523.75,n/a,MORTGAGE,75000.0,Source Verified,Charged Off,credit_card,TX,14.06,2.0,Apr-1999,1833.85,INDIVIDUAL,,,23600.0
74,7378677,24000.0,597.76,6 years,RENT,90000.0,Verified,Fully Paid,credit_card,NY,10.93,2.0,Jun-1989,4077.27,INDIVIDUAL,,,37000.0
75,10854871,7000.0,235.36,5 years,,45000.0,Verified,Current,credit_card,IL,13.71,0.0,Dec-1999,1255.09,INDIVIDUAL,,,12600.0
76,65159443,5500.0,,2 years,MORTGAGE,50000.0,Verified,Current,debt_consolidation,FL,16.39,0.0,May-2010,143.69,INDIVIDUAL,,,6800.0
77,20761311,21000.0,639.15,10+ years,,150000.0,Verified,Current,debt_consolidation,FL,14.44,0.0,Sep-1990,1419.92,INDIVIDUAL,,,45400.0
78,13848179,12225.0,331.97,5 years,MORTGAGE,51000.0,Source Verified,Current,major_purchase,IL,7.81,1.0,Mar-2004,4048.3,INDIVIDUAL,,,4500.0
79,67468638,31275.0,,10+ years,RENT,68000.0,Verified,Current,credit_card,PA,26.44,0.0,Jan-2003,0.0,INDIVIDUAL,,76.2,43700.0
80,63495897,25000.0,,1 year,RENT,61224.0,Source Verified,Current,debt_consolidation,CA,14.98,1.0,Jan-2009,754.81,INDIVIDUAL,,,18900.0
81,36840255,8400.0,261.26,10+ years,OWN,37000.0,Not Verified,Current,other,CA,25.98,0.0,Mar-2000,574.06,INDIVIDUAL,,,18600.0
82,14999229,28000.0,979.02,2 years,MORTGAGE,230000.0,Not Verified,Current,debt_consolidation,TX,19.53,3.0,Aug-1987,5639.73,INDIVIDUAL,,,71300.0
83,55534250,9000.0,277.45,2 years,MORTGAGE,50000.0,Source Verified,Current,credit_card,MI,19.4,0.0,Jul-1996,195.45,INDIVIDUAL,,,
84,29244255,10000.0,217.38,4 years,,58000.0,Source Verified,Current,credit_card,SD,16.55,1.0,Mar-2001,1247.85,INDIVIDUAL,,,15800.0
85,12387761,5000.0,172.45,n/a,MORTGAGE,45000.0,Verified,Fully Paid,medical,CA,18.66,0.0,Apr-1975,630.68,INDIVIDUAL,,,
86,1404086,12000.0,417.81,5 years,RENT,40320.0,Not Verified,Fully Paid,debt_consolidation,CO,21.82,0.0,Aug-2007,2287.79,INDIVIDUAL,,,
87,5650424,12000.0,417.81,8 years,MORTGAGE,65000.0,Not Verified,Charged Off,credit_card,KS,18.81,0.0,Aug-2006,2444.83,INDIVIDUAL,,,22100.0
88,11678186,22850.0,791.88,n/a,MORTGAGE,53000.0,Verified,Current,debt_consolidation,MD,18.48,0.0,Jul-1998,4685.28,INDIVIDUAL,,,13900.0
89,10082186,11000.0,353.24,7 years,OWN,115000.0,Source Verified,Fully Paid,credit_card,CA,9.84,0.0,Aug-1995,854.91,INDIVIDUAL,,,28700.0
90,56020008,9000.0,304.68,10+ years,OWN,70000.0,Source Verified,Current,moving,GA,21.76,0.0,Aug-2001,463.55,INDIVIDUAL,,,18800.0
91,67326737,16725.0,564.99,9 years,MORTGAGE,120000.0,Source Verified,Current,debt_consolidation,NJ,9.58,0.0,Mar-1994,171.45,INDIVIDUAL,,41.5,24000.0
92,60812798,2400.0,,5 years,MORTGAGE,90000.0,Source Verified,Current,debt_consolidation,CT,20.4,0.0,Jan-1992,41.5,INDIVIDUAL,,,119900.0
93,62195771,9000.0,,5 years,MORTGAGE,95000.0,Source Verified,Current,debt_consolidation,FL,26.99,2.0,May-1996,230.44,INDIVIDUAL,,,23600.0
94,65634209,6850.0,280.8,< 1 year,RENT,32864.0,Verified,Current,debt_consolidation,FL,12.9,0.0,Jun-2001,145.5,INDIVIDUAL,,,
95,16391284,2000.0,66.9,10+ years,RENT,28993.0,Not Verified,Current,debt_consolidation,NJ,22.6,0.0,Dec-2001,308.45,INDIVIDUAL,,,18700.0
96,48604599,10000.0,318.79,7 years,MORTGAGE,90000.0,Source Verified,Current,credit_card,TX,23.59,0.0,Jul-2006,548.48,INDIVIDUAL,,,19500.0
97,65964656,12000.0,266.88,9 years,MORTGAGE,140000.0,Verified,Current,debt_consolidation,NY,15.66,0.0,Aug-1990,103.91,INDIVIDUAL,,,
98,40350930,11000.0,348.12,6 years,RENT,50000.0,Not Verified,Current,credit_card,MI,6.89,0.0,Dec-2004,754.52,INDIVIDUAL,,,16700.0
99,11406958,14000.0,481.69,10+ years,OWN,46000.0,Verified,Current,credit_card,TX,26.09,0.0,Jan-1987,2842.63,INDIVIDUAL,,,43900.0
100,6617142,20000.0,468.8,5 years,MORTGAGE,57000.0,Source Verified,Current,credit_card,TN,10.88,0.0,Feb-1996,4669.4,INDIVIDUAL,,,14900.0
101,5895212,10000.0,343.39,2 years,RENT,47000.0,Not Verified,Fully Paid,debt_consolidation,MD,24.38,0.0,Sep-2002,2282.14,INDIVIDUAL,,,33200.0
102,53392452,27000.0,,7 years,MORTGAGE,99000.0,Source Verified,Current,debt_consolidation,GA,20.6,0.0,Dec-1996,663.84,INDIVIDUAL,,,148300.0
103,51856500,20000.0,482.23,3 years,MORTGAGE,115000.0,Source Verified,Current,debt_consolidation,AZ,14.17,0.0,Jun-1998,1603.25,INDIVIDUAL,,,48600.0
104,1359143,12000.0,429.45,10+ years,MORTGAGE,37554.36,Not Verified,Fully Paid,debt_consolidation,FL,27.9,0.0,Dec-1981,3455.89,INDIVIDUAL,,,
105,1300724,6600.0,206.52,2 years,MORTGAGE,50000.0,Not Verified,Fully Paid,debt_consolidation,GA,20.71,0.0,Mar-2005,821.21,INDIVIDUAL,,,
106,58260522,2500.0,87.42,2 years,OWN,25000.0,Verified,Current,other,AZ,34.37,0.0,Aug-2009,121.42,INDIVIDUAL,,,8100.0
107,8967062,18000.0,,< 1 year,RENT,60500.0,Source Verified,Fully Paid,credit_card,TX,12.14,1.0,Aug-1991,1867.22,INDIVIDUAL,,,18000.0
108,17803052,7900.0,,2 years,,45500.0,Source Verified,Current,credit_card,PA,33.34,1.0,Jul-2003,1135.63,INDIVIDUAL,,,15200.0
109,6885391,1200.0,42.66,10+ years,MORTGAGE,65000.0,Not Verified,Current,other,PA,21.42,0.0,Oct-1999,315.05,INDIVIDUAL,,,25200.0
110,8764912,20000.0,635.07,4 years,OWN,69680.0,Source Verified,Current,debt_consolidation,PA,20.87,0.0,Aug-1992,2610.75,INDIVIDUAL,,,76400.0
111,40385342,15600.0,327.56,2 years,MORTGAGE,59000.0,Source Verified,Fully Paid,home_improvement,CA,24.94,0.0,Aug-2002,774.95,INDIVIDUAL,,,13200.0
112,61501338,20000.0,465.27,10+ years,MORTGAGE,65000.0,Source Verified,Current,debt_consolidation,GA,22.8,1.0,Aug-1992,675.81,INDIVIDUAL,,,48600.0
113,7729068,13000.0,473.58,1 year,MORTGAGE,62000.0,Verified,Current,credit_card,TX,22.65,0.0,Mar-1995,3737.03,INDIVIDUAL,,,22200.0
114,9197895,28000.0,683.89,2 years,MORTGAGE,100000.0,Source Verified,Current,debt_consolidation,TN,15.02,0.0,Mar-1994,8072.84,INDIVIDUAL,,,52900.0
115,4311443,15000.0,547.95,10+ years,RENT,100000.0,Not Verified,Charged Off,debt_consolidation,NY,20.12,2.0,Dec-1997,1732.87,INDIVIDUAL,,,7100.0
116,58643031,35000.0,927.1,10+ years,MORTGAGE,84235.0,Source Verified,Current,debt_consolidation,AZ,27.94,0.0,Mar-1993,2258.52,INDIVIDUAL,,,59100.0
117,55441539,15000.0,338.93,10+ years,OWN,33000.0,Source Verified,Current,debt_consolidation,FL,15.71,0.0,Oct-1995,763.28,INDIVIDUAL,,,14700.0
118,38639843,12000.0,,3 years,MORTGAGE,60000.0,Source Verified,Current,debt_consolidation,TX,,0.0,Sep-2004,1477.88,INDIVIDUAL,,,17800.0
119,59925613,10000.0,305.31,6 years,MORTGAGE,60000.0,Not Verified,Current,debt_consolidation,OH,27.32,0.0,Feb-2000,196.6,INDIVIDUAL,,,76100.0
120,17553162,9600.0,299.46,5 years,OWN,31000.0,Not Verified,Fully Paid,credit_card,NV,8.67,0.0,Jun-1995,179.98,INDIVIDUAL,,,25400.0
121,8976209,5600.0,194.41,n/a,RENT,29000.0,Source Verified,Current,credit_card,PA,14.16,0.0,Nov-2002,1245.1,INDIVIDUAL,,,14900.0
122,871175,12800.0,412.96,5 years,,83820.0,Not Verified,Fully Paid,debt_consolidation,RI,8.78,0.0,May-2000,2042.96,INDIVIDUAL,,,
123,19127505,3500.0,138.24,9 years,OWN,43000.0,Verified,Fully Paid,vacation,GA,24.45,3.0,Jul-2001,541.85,INDIVIDUAL,,,4800.0
124,16051414,16000.0,408.39,10+ years,MORTGAGE,80000.0,Source Verified,Current,debt_consolidation,NY,21.09,0.0,Jan-1996,4152.1,INDIVIDUAL,,,26200.0
125,59220252,11200.0,,10+ years,MORTGAGE,120000.0,Not Verified,Current,credit_card,KS,20.32,0.0,Aug-1995,187.63,INDIVIDUAL,,,
126,3848086,30250.0,1067.84,n/a,OWN,70000.0,Verified,Fully Paid,credit_card,NV,26.26,0.0,Jan-1983,2683.09,INDIVIDUAL,,,72001.0
127,10080704,13475.0,495.44,10+ years,RENT,35000.0,Source Verified,Fully Paid,debt_consolidation,FL,32.2,0.0,Oct-1989,3403.83,INDIVIDUAL,,,25600.0
128,12516059,24000.0,554.1,1 year,MORTGAGE,113000.0,Source Verified,Current,debt_consolidation,AZ,18.88,0.0,Feb-2001,5208.21,INDIVIDUAL,,,40100.0
129,48614843,5000.0,178.24,4 years,RENT,32000.0,Not Verified,Current,credit_card,SD,21.91,0.0,Nov-2008,517.79,INDIVIDUAL,,,
130,52189390,8000.0,263.93,10+ years,RENT,115000.0,Not Verified,Current,credit_card,NY,4.08,0.0,Nov-1987,489.46,INDIVIDUAL,,,30200.0
131,49773845,15000.0,,9 years,OWN,80000.0,Verified,Current,debt_consolidation,PA,19.02,0.0,Aug-2004,661.43,INDIVIDUAL,,,
132,67585584,10900.0,341.02,< 1 year,MORTGAGE,110000.0,Source Verified,Current,debt_consolidation,GA,5.76,0.0,May-1991,0.0,INDIVIDUAL,,54.0,65500.0
133,2378381,18825.0,635.29,1 year,MORTGAGE,60000.0,Verified,Fully Paid,debt_consolidation,TX,29.25,2.0,Jan-1998,4045.29,INDIVIDUAL,,,27500.0
134,34342481,12500.0,421.12,1 year,RENT,50000.0,Not Verified,Current,debt_consolidation,CA,14.07,0.0,Dec-2008,1591.25,INDIVIDUAL,,,6600.0
135,16412371,8500.0,274.88,10+ years,MORTGAGE,70000.0,Not Verified,Fully Paid,debt_consolidation,VA,16.25,0.0,Mar-1997,405.33,INDIVIDUAL,,,17700.0
136,9199527,20000.0,468.49,10+ years,MORTGAGE,91390.0,Source Verified,Current,debt_consolidation,FL,16.2,0.0,Oct-1994,5055.17,INDIVIDUAL,,,9000.0
137,51909103,8750.0,293.52,10+ years,RENT,25000.0,Not Verified,Current,debt_consolidation,NY,29.57,0.0,Jul-2000,510.51,INDIVIDUAL,,,
138,27651246,9000.0,307.52,10+ years,RENT,57000.0,Source Verified,Current,debt_consolidation,NM,35.14,0.0,Nov-1982,1311.87,INDIVIDUAL,,,28600.0
139,33380973,21500.0,654.37,6 years,,140000.0,Source Verified,Fully Paid,debt_consolidation,VA,3.52,0.0,Feb-1992,1252.33,INDIVIDUAL,,,73900.0
140,50323402,11425.0,293.55,1 year,OWN,35000.0,Source Verified,Current,home_improvement,MI,22.29,0.0,Apr-1993,1185.56,INDIVIDUAL,,,5300.0
141,64017264,14400.0,486.45,8 years,MORTGAGE,154000.0,Not Verified,Current,debt_consolidation,FL,17.97,0.0,Apr-2001,302.17,INDIVIDUAL,,,44300.0
142,3527987,35000.0,946.87,10+ years,OWN,98000.0,Source Verified,Current,home_improvement,IL,21.72,1.0,May-1989,16830.65,INDIVIDUAL,,,73400.0
143,2084839,15000.0,529.51,10+ years,MORTGAGE,93000.0,Source Verified,Fully Paid,debt_consolidation,NJ,7.64,3.0,Mar-2001,3918.13,INDIVIDUAL,,,25925.0
144,46705082,2375.0,86.87,4 years,OWN,50000.0,Source Verified,Current,small_business,LA,6.86,0.0,Nov-2006,273.32,INDIVIDUAL,,,5800.0
145,45874210,14000.0,458.28,< 1 year,RENT,60000.0,Not Verified,Current,debt_consolidation,CA,18.2,0.0,Dec-1999,1034.22,INDIVIDUAL,,,20200.0
146,64028252,12000.0,277.18,5 years,RENT,120000.0,Source Verified,Fully Paid,house,NC,11.25,0.0,Feb-2002,249.18,INDIVIDUAL,,,12600.0
147,11668658,28000.0,872.52,10+ years,MORTGAGE,80000.0,Source Verified,Current,credit_card,OH,25.25,0.0,Jul-1999,2848.08,INDIVIDUAL,,,99000.0
148,20348582,9700.0,302.58,10+ years,RENT,60000.0,Not Verified,Current,credit_card,CA,18.5,0.0,Jun-2002,874.92,INDIVIDUAL,,,19400.0
149,749214,17750.0,602.27,< 1 year,RENT,48000.0,Source Verified,Fully Paid,credit_card,MO,13.63,1.0,Aug-2003,3919.9,INDIVIDUAL,,,
150,38141757,25000.0,,8 years,MORTGAGE,80000.0,Verified,Current,debt_consolidation,CO,19.56,3.0,Nov-1985,2673.31,INDIVIDUAL,,,24900.0
151,65707744,7650.0,278.45,4 years,OWN,80000.0,Not Verified,Current,small_business,NY,12.8,0.0,Oct-2009,110.01,INDIVIDUAL,,,9500.0
152,9786101,12000.0,410.02,10+ years,MORTGAGE,75000.0,Not Verified,Fully Paid,medical,TX,12.42,3.0,Nov-1998,1775.2,INDIVIDUAL,,,28400.0
153,32149207,17500.0,407.02,10+ years,MORTGAGE,74500.0,Source Verified,Fully Paid,home_improvement,MN,13.08,0.0,Aug-1999,1248.34,INDIVIDUAL,,,27700.0
154,67237233,15125.0,363.09,< 1 year,OWN,34400.0,Verified,Current,debt_consolidation,ND,21.81,0.0,Apr-2002,0.0,INDIVIDUAL,,54.2,35200.0
155,64037756,17000.0,388.38,3 years,RENT,65000.0,Not Verified,Current,debt_consolidation,MT,9.58,0.0,Jun-1998,352.54,INDIVIDUAL,,,26900.0
156,38540203,5000.0,170.07,4 years,RENT,62000.0,Not Verified,Current,debt_consolidation,PA,18.71,0.0,Oct-1993,548.97,INDIVIDUAL,,,
157,352541,8000.0,251.64,1 year,RENT,55161.6,Not Verified,Fully Paid,credit_card,TX,10.81,0.0,Oct-2000,1619.65,INDIVIDUAL,,,
158,50920266,10000.0,309.97,5 years,MORTGAGE,31000.0,Not Verified,Current,credit_card,TN,21.84,0.0,Apr-2007,387.45,INDIVIDUAL,,,44300.0
159,65781851,12000.0,361.38,7 years,MORTGAGE,130000.0,Not Verified,Current,credit_card,TX,17.41,0.0,Jun-2005,101.48,INDIVIDUAL,,,29800.0
160,55311036,17500.0,,< 1 year,MORTGAGE,150000.0,Not Verified,Current,credit_card,VA,,0.0,Aug-1995,605.98,INDIVIDUAL,,,47900.0
161,7045356,6375.0,212.81,10+ years,MORTGAGE,71500.0,Source Verified,Fully Paid,debt_consolidation,AR,28.82,0.0,Aug-1999,876.88,INDIVIDUAL,,,43200.0
162,49257762,7600.0,245.2,10+ years,RENT,24000.0,Source Verified,Current,credit_card,GA,12.15,0.0,Apr-2002,400.1,INDIVIDUAL,,,14300.0
